Sub-agent,Purpose,Tools,Delegates to,Triggers,Guardrails,Owner,Plugin Location,Role Classification
sfdc-orchestrator,Coordinates complex multi-step Salesforce operations with mandatory validation framework,"Task, mcp_salesforce, Read, Write, TodoWrite, ExitPlanMode, Bash, SlashCommand","sfdc-metadata-manager, sfdc-data-operations, sfdc-conflict-resolver, sfdc-planner",Complexity > 0.7; Multiple sub-tasks; Production deployments,"Org resolution before delegation, QA workflow mode confirmation, mandatory validation framework",RevPal Engineering,salesforce-plugin,Orchestrator
sfdc-metadata-manager,Manages Salesforce metadata - fields/objects/validation rules,"Read, Write, Grep, Bash, mcp_salesforce",None,Metadata operations; Field/object creation; Validation rule updates,"Metadata API versioning, governor limits check",RevPal Engineering,salesforce-plugin,Specialist
sfdc-data-operations,Bulk data operations - import/export/merge/dedupe,"Read, Write, Bash, mcp_salesforce","dedup-workflow-orchestrator, bulk-merge-executor-parallel",Bulk operations; Data migration; Merge/dedupe workflows,"Data integrity checks, Type 1/2 error prevention, backup validation",RevPal Engineering,salesforce-plugin,Specialist
sfdc-security-admin,Manages profiles/permission sets/security,"Read, Write, mcp_salesforce",None,Permission set creation/update; Security changes,"Security review required, FLS validation",RevPal Engineering,salesforce-plugin,Specialist
sfdc-conflict-resolver,Resolves deployment conflicts and metadata issues,"Read, Write, Grep, Bash, mcp_salesforce",None,Conflict/error/failed patterns; Deployment failures,"Conflict analysis before resolution",RevPal Engineering,salesforce-plugin,Specialist
sfdc-deployment-manager,Manages deployments and package operations,"Read, Write, Bash, mcp_salesforce",None,Deploy/package/changeset patterns,"Pre-deployment validation, rollback plan required",RevPal Engineering,salesforce-plugin,Specialist
sfdc-planner,Complex planning and strategy for unknown-scope tasks,"Read, Write, TodoWrite, ExitPlanMode, Task","Various specialists based on plan",Plan/strategy/design patterns; Complexity 0.5-0.7; Unknown scope,"Plan review required, complexity assessment",RevPal Engineering,salesforce-plugin,Hybrid
sfdc-apex-developer,Apex code development and testing,"Read, Write, Grep, Bash, mcp_salesforce",None,Apex/trigger/class/test patterns,"Code coverage > 75%, test execution required",RevPal Engineering,salesforce-plugin,Specialist
sfdc-automation-builder,Flow/workflow/process builder automation,"Read, Write, mcp_salesforce","automation-audit-v2-orchestrator, automation-inventory-orchestrator",Flow/automation/workflow creation,"Best practices validation, circular dependency check",RevPal Engineering,salesforce-plugin,Specialist
sfdc-reports-dashboards,Reports and dashboards with analytics,"Read, Write, mcp_salesforce, mcp_salesforce_data_query",None,Report/dashboard/analytics patterns,"Query optimization, governor limits",RevPal Engineering,salesforce-plugin,Specialist
sfdc-layout-generator,AI-powered layout generation with persona detection,"Read, Write, mcp_salesforce",None,Create/generate/design layout patterns; Persona mentioned,"Persona validation, field importance analysis",RevPal Engineering,salesforce-plugin,Specialist
sfdc-field-analyzer,Field-level analysis and validation,"Read, Grep, mcp_salesforce",None,Field analysis requests,"Field dependency check",RevPal Engineering,salesforce-plugin,Specialist
sfdc-dependency-analyzer,Circular dependency detection and resolution,"Read, Grep, Bash, mcp_salesforce",None,Dependency/circular/relationship patterns,"Dependency graph validation",RevPal Engineering,salesforce-plugin,Specialist
sfdc-query-specialist,SOQL/SOSL query optimization,"Read, Write, mcp_salesforce_data_query",None,SOQL/SOSL/query/select patterns,"Query governor limits check",RevPal Engineering,salesforce-plugin,Specialist
sfdc-merge-orchestrator,Orchestrates account/contact merge workflows,"Read, Write, Task, TodoWrite","sfdc-data-operations, bulk-merge-executor-parallel",Merge operations,"Pre-merge validation, backup required",RevPal Engineering,salesforce-plugin,Orchestrator
sfdc-revops-coordinator,Coordinates RevOps operations across systems,"Read, Write, Task, TodoWrite","sfdc-reports-dashboards, sfdc-data-operations",RevOps requests,"Cross-system consistency check",RevPal Engineering,salesforce-plugin,Orchestrator
hubspot-orchestrator,Coordinates HubSpot operations,"Read, Write, Task, TodoWrite, mcp__hubspot-*","hubspot-property-manager, hubspot-workflow-builder, hubspot-data-operations-manager",Complexity > 0.7; Multiple HubSpot tasks,"Portal validation, rate limit monitoring",RevPal Engineering,hubspot-core-plugin,Orchestrator
hubspot-property-manager,Manages HubSpot properties,"Read, Write, mcp__hubspot-*",None,Property creation/update,"Property type validation",RevPal Engineering,hubspot-core-plugin,Specialist
hubspot-workflow-builder,Builds HubSpot workflows,"Read, Write, mcp__hubspot-*",None,Workflow creation,"Workflow logic validation, enrollment criteria check",RevPal Engineering,hubspot-core-plugin,Specialist
hubspot-data-operations-manager,HubSpot data import/export/merge,"Read, Write, Bash, mcp__hubspot-*",None,Bulk HubSpot operations,"Data integrity checks, duplicate detection",RevPal Engineering,hubspot-plugin,Specialist
hubspot-contact-manager,Contact management operations,"Read, Write, mcp__hubspot-*",None,Contact operations,"Required property validation",RevPal Engineering,hubspot-core-plugin,Specialist
hubspot-pipeline-manager,Pipeline and deal management,"Read, Write, mcp__hubspot-*",None,Pipeline/deal operations,"Stage validation, probability checks",RevPal Engineering,hubspot-core-plugin,Specialist
gtm-planning-orchestrator,Go-to-market planning coordination,"Read, Write, Task, TodoWrite","gtm-comp-planner, gtm-quota-capacity",GTM planning requests,"Capacity model validation",RevPal Engineering,gtm-planning-plugin,Orchestrator
gtm-comp-planner,Compensation and commission planning,"Read, Write, TodoWrite",None,Compensation planning,"Commission calculation validation",RevPal Engineering,gtm-planning-plugin,Specialist
gtm-quota-capacity,Quota and capacity planning,"Read, Write, TodoWrite",None,Quota/capacity requests,"Capacity utilization checks",RevPal Engineering,gtm-planning-plugin,Specialist
platform-instance-manager,Manages instances across all platforms,"Read, Write, Bash",None,Instance/environment management,"Instance alias validation",RevPal Engineering,opspal-core,Specialist
instance-deployer,Deploys changes across platform instances,"Read, Write, Bash",None,Cross-instance deployment,"Pre-deployment checks per platform",RevPal Engineering,opspal-core,Specialist
plugin-documenter,Generates and updates plugin documentation,"Read, Write, Bash, Glob",None,Documentation requests,"Manifest validation",RevPal Engineering,developer-tools-plugin,Specialist
plugin-publisher,Plugin version management and publishing,"Read, Write, Edit, Bash",None,Version bump/release requests,"Semantic versioning validation, changelog generation",RevPal Engineering,developer-tools-plugin,Specialist
plugin-catalog-manager,Builds and maintains marketplace catalog,"Read, Write, Bash, Glob",None,Catalog generation requests,"Quality score calculation",RevPal Engineering,developer-tools-plugin,Specialist
supabase-reflection-analyst,Queries and analyzes reflections from Supabase,"mcp__supabase__*, Read, Write, Bash, TodoWrite",None,Query reflections; Trend analysis,"Reflection schema validation",RevPal Engineering,.claude (internal),Specialist
supabase-cohort-detector,Detects reflection cohorts with shared root causes,"mcp__supabase__*, Read, Write, Bash, TodoWrite","supabase-recurrence-detector",Cohort detection requests,"3-tier analysis validation (symptom, root cause, prevention)",RevPal Engineering,.claude (internal),Specialist
supabase-fix-planner,Generates fix plans with RCA and alternatives,"mcp__supabase__*, Read, Write, TodoWrite",None,Fix plan generation for cohorts,"5-layer RCA validation, prevention focus",RevPal Engineering,.claude (internal),Specialist
supabase-asana-bridge,Creates Asana tasks from fix plans,"mcp__supabase__*, mcp__asana__*, Read, Write, TodoWrite",None,Asana task creation from cohorts,"Human-readable format, prevention-focused",RevPal Engineering,.claude (internal),Specialist
supabase-workflow-manager,Manages reflection lifecycle states,"mcp__supabase__*, mcp__asana__*, Read, Write, TodoWrite",None,Reflection status updates,"Workflow state machine validation",RevPal Engineering,.claude (internal),Specialist
supabase-recurrence-detector,Detects recurring issues from historical reflections,"mcp__supabase__*, Read, Write, Bash, TodoWrite",None,Recurrence detection requests,"Historical pattern matching validation",RevPal Engineering,.claude (internal),Specialist
sfdc-hubspot-dedup-orchestrator,Cross-platform deduplication orchestration,"mcp__supabase__*, mcp__salesforce__*, mcp__hubspot-*",None,Cross-platform dedupe requests,"Cross-system integrity checks",RevPal Engineering,.claude (internal),Orchestrator
